MAA Soccer League,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Table,,,,,,,,,,,,GP,W,D,L,GF,GA,GD,PTS,rank
22-Feb,10:45 PM,4,Tolba FC,Brothers,,:,,,,,,,,,,,,,,,,,,,,,,,,
22-Feb,11:35 PM,1,Tolba FC,ISNA SC,,:,,,,,,,,,,,,,,,,,,,,,,,,
22-Feb,11:35 PM,2,A.S. Roma,Black Horse,,:,,,,,,,,,,,,,,,,,,,,,,,,
22-Feb,11:35 PM,3,Liverpool,Joga Bonito,,:,,,,,,,,,,,,,,,,,,,,,,,,
22-Feb,11:35 PM,4,Eagles FC,Brothers,,:,,,,,,,,,,,,,,,,,,,,,,,,
22-Feb,12:20 AM,1,Dream,North Africa,,:,,,,,,,,,,,,,,,,,,,,,,,,
22-Feb,12:20 AM,2,Babylon,Saga,,:,,,,,,,,,,,,,,,,,,,,,,,,
22-Feb,12:20 AM,3,Ricks FC,Syrian Eagles FC,,:,,,,,,,,,,,,,,,,,,,,,,,,
22-Feb,12:20 AM,4,Regala,Team 16,,:,,,,,,,,,,,,,,,,,,,,,,,,
22-Feb,1:05 AM,1,Babylon,North Africa,,:,,,,,,,,,,,,,,,,,,,,,,,,
22-Feb,1:05 AM,2,Ricks FC,Saga,,:,,,,,,,,,,,,,,,,,,,,,,,,
22-Feb,1:05 AM,3,Regala,Syrian Eagles FC,,:,,,,,,,,,,,,,,,,,,,,,,,,
22-Feb,1:05 AM,4,Dream,Team 16,,:,,,,,,,,,,,,,,,,,,,,,,,,
29-Feb,10:45 PM,1,A.S. Roma,Eagles FC,,:,,,,,,,,,,,,,,,,,,,,,,,,
29-Feb,10:45 PM,2,Liverpool,Tolba FC,,:,,,,,,,,,,,,,,,,,,,,,,,,
29-Feb,10:45 PM,3,Ricks FC,Babylon,,:,,,,,,,,,,,,,,,,,,,,,,,,
29-Feb,10:45 PM,4,Joga Bonito,Team 16,,:,,,,,,,,,,,,,,,,,,,,,,,,
29-Feb,11:35 PM,1,Regala,Dream,,:,,,,,,,,,,,,,,,,,,,,,,,,
29-Feb,11:35 PM,2,Brothers,Saga,,:,,,,,,,,,,,,,,,,,,,,,,,,
29-Feb,11:35 PM,3,ISNA SC,Syrian Eagles FC,,:,,,,,,,,,,,,,,,,,,,,,,,,
29-Feb,11:35 PM,4,Black Horse,North Africa,,:,,,,,,,,,,,,,,,,,,,,,,,,
